uniq_id,clust8_EV1234
user_175 _ 2021-04-26,1
user_175 _ 2021-04-27,1
user_175 _ 2021-04-28,1
user_175 _ 2021-04-29,1
user_175 _ 2021-04-30,1
user_175 _ 2021-05-17,8
user_175 _ 2021-05-18,8
user_175 _ 2021-05-19,8
user_175 _ 2021-05-20,8
user_175 _ 2021-05-21,8
user_175 _ 2021-05-23,1
user_175 _ 2021-05-24,8
user_175 _ 2021-05-25,8
user_175 _ 2021-05-26,8
user_176 _ 2021-04-29,1
user_176 _ 2021-05-06,1
user_176 _ 2021-05-07,1
user_176 _ 2021-05-14,1
user_176 _ 2021-05-15,1
user_177 _ 2021-04-27,8
user_177 _ 2021-04-28,8
user_177 _ 2021-04-29,8
user_177 _ 2021-04-30,3
user_177 _ 2021-05-01,8
user_177 _ 2021-05-02,1
user_177 _ 2021-05-03,1
user_177 _ 2021-05-04,8
user_177 _ 2021-05-05,8
user_177 _ 2021-05-07,8
user_177 _ 2021-05-08,8
user_177 _ 2021-05-09,1
user_177 _ 2021-05-10,8
user_177 _ 2021-05-11,8
user_177 _ 2021-05-12,8
user_177 _ 2021-05-13,8
user_177 _ 2021-05-14,8
user_178 _ 2021-04-27,1
user_178 _ 2021-04-28,1
user_178 _ 2021-04-29,1
user_178 _ 2021-04-30,1
user_178 _ 2021-05-01,3
user_178 _ 2021-05-02,4
user_178 _ 2021-05-03,1
user_178 _ 2021-05-04,1
user_178 _ 2021-05-05,1
user_178 _ 2021-05-06,1
user_178 _ 2021-05-07,1
user_178 _ 2021-05-08,1
user_178 _ 2021-05-09,1
user_178 _ 2021-05-10,6
user_178 _ 2021-05-11,1
user_182 _ 2021-05-01,1
user_182 _ 2021-05-02,1
user_182 _ 2021-05-03,1
user_182 _ 2021-05-04,1
user_182 _ 2021-05-08,3
user_182 _ 2021-05-09,1
user_182 _ 2021-05-10,1
user_182 _ 2021-05-11,1
user_182 _ 2021-05-14,1
user_185 _ 2021-05-04,3
user_185 _ 2021-05-05,1
user_185 _ 2021-05-07,1
user_185 _ 2021-05-10,1
user_185 _ 2021-05-13,3
user_186 _ 2021-05-04,1
user_186 _ 2021-05-05,1
user_186 _ 2021-05-11,1
user_186 _ 2021-05-12,1
user_186 _ 2021-05-13,1
user_186 _ 2021-05-15,1
user_186 _ 2021-05-16,3
user_186 _ 2021-05-18,1
user_186 _ 2021-05-19,1
user_186 _ 2021-05-20,1
user_187 _ 2021-05-04,1
user_187 _ 2021-05-05,1
user_187 _ 2021-05-06,1
user_187 _ 2021-05-07,3
user_187 _ 2021-05-09,2
user_187 _ 2021-05-10,2
user_187 _ 2021-05-12,4
user_187 _ 2021-05-14,4
user_187 _ 2021-05-16,4
user_187 _ 2021-05-17,3
user_187 _ 2021-05-18,1
user_189 _ 2021-05-04,1
user_189 _ 2021-05-05,1
user_189 _ 2021-05-06,1
user_189 _ 2021-05-09,1
user_189 _ 2021-05-10,1
user_189 _ 2021-05-11,1
user_189 _ 2021-05-12,1
user_189 _ 2021-05-13,1
user_189 _ 2021-05-14,3
user_189 _ 2021-05-15,1
user_189 _ 2021-05-16,1
user_189 _ 2021-05-18,1
user_190 _ 2021-05-05,8
user_190 _ 2021-05-06,8
user_190 _ 2021-05-07,8
user_190 _ 2021-05-08,1
user_190 _ 2021-05-09,3
user_190 _ 2021-05-12,8
user_190 _ 2021-05-13,8
user_190 _ 2021-05-14,8
user_190 _ 2021-05-15,3
user_190 _ 2021-05-16,6
user_190 _ 2021-05-17,8
user_190 _ 2021-05-19,8
user_191 _ 2021-05-05,5
user_191 _ 2021-05-06,4
user_191 _ 2021-05-07,4
user_191 _ 2021-05-09,3
user_191 _ 2021-05-10,1
user_191 _ 2021-05-13,4
user_191 _ 2021-05-14,1
user_191 _ 2021-05-17,1
user_191 _ 2021-05-20,1
user_191 _ 2021-05-22,1
user_191 _ 2021-05-23,1
user_192 _ 2021-05-09,7
user_192 _ 2021-05-11,7
user_192 _ 2021-05-14,7
user_192 _ 2021-05-15,7
